id,word,language
189,बुल्ली,marathi
190,बुल्लीचा,marathi
191,बुल्लीत,marathi
192,बेअक्कल,marathi
193,बेशरम,marathi
194,बोचा,marathi
195,बोचाच्या,marathi
196,बोचात,marathi
197,बोच्याबुल्लीच्या,marathi
198,भडवा,marathi
199,भडविच्याभिकारचोट,marathi
200,भडव्या,marathi
201,भडव्यात,marathi
202,भुंड्,marathi
203,भुंड्त,marathi
204,भुंड्यात,marathi
205,भुंड्यातत,marathi
206,भोक,marathi
207,भोकचा,marathi
208,भोकत,marathi
209,भोकाच्या,marathi
210,भोसडा,marathi
211,भोसडाचा,marathi
212,भोसडात,marathi
213,भोसडीच्या,marathi
214,भोसडीच्यात,marathi
215,मंद,marathi
216,माईचा,marathi
217,माईचात,marathi
218,माईच्या,marathi
219,मारीच्या,marathi
220,मारीच्यात,marathi
221,मुठ्ठया,marathi
222,मुठ्ठयाचा,marathi
223,मुठ्ठयात,marathi
224,मूर्ख,marathi
225,रंडीचा,marathi
226,रंडीच्या,marathi
227,रंडीच्यात,marathi
228,रंडीत,marathi
229,रांडचा,marathi
230,रांडच्या,marathi
231,रांडीच्या,marathi
232,रांडीच्यात,marathi
233,लवड्या,marathi
234,लवड्याचा,marathi
235,लवड्याच्या,marathi
236,लवड्यात,marathi
237,साला,marathi
238,हलकट,marathi
