id,word,language,model,categories.harassment,categories.harassment_threatening,categories.hate,categories.hate_threatening,categories.illicit,categories.illicit_violent,categories.self_harm,categories.self_harm_instructions,categories.self_harm_intent,categories.sexual,categories.sexual_minors,categories.violence,categories.violence_graphic,categories.harassment/threatening,categories.hate/threatening,categories.illicit/violent,categories.self-harm/intent,categories.self-harm/instructions,categories.self-harm,categories.sexual/minors,categories.violence/graphic,category_applied_input_types.harassment,category_applied_input_types.harassment_threatening,category_applied_input_types.hate,category_applied_input_types.hate_threatening,category_applied_input_types.illicit,category_applied_input_types.illicit_violent,category_applied_input_types.self_harm,category_applied_input_types.self_harm_instructions,category_applied_input_types.self_harm_intent,category_applied_input_types.sexual,category_applied_input_types.sexual_minors,category_applied_input_types.violence,category_applied_input_types.violence_graphic,category_applied_input_types.harassment/threatening,category_applied_input_types.hate/threatening,category_applied_input_types.illicit/violent,category_applied_input_types.self-harm/intent,category_applied_input_types.self-harm/instructions,category_applied_input_types.self-harm,category_applied_input_types.sexual/minors,category_applied_input_types.violence/graphic,category_scores.harassment,category_scores.harassment_threatening,category_scores.hate,category_scores.hate_threatening,category_scores.illicit,category_scores.illicit_violent,category_scores.self_harm,category_scores.self_harm_instructions,category_scores.self_harm_intent,category_scores.sexual,category_scores.sexual_minors,category_scores.violence,category_scores.violence_graphic,category_scores.harassment/threatening,category_scores.hate/threatening,category_scores.illicit/violent,category_scores.self-harm/intent,category_scores.self-harm/instructions,category_scores.self-harm,category_scores.sexual/minors,category_scores.violence/graphic,flagged
1,अकराम्हशी,marathi,open-mixtral-8x7b,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.3397866052385764,0.0008561993030772566,0.0200764648682174,3.353501304664781e-05,2.4923252458203565e-05,6.302758756443267e-06,0.00046201410865757075,0.0002177994777081214,0.0002227627797192805,0.002742756793996051,1.6865275398914433e-05,0.0005893550335994887,6.302758756443267e-06,0.0008561993030772566,3.353501304664781e-05,6.302758756443267e-06,0.0002227627797192805,0.0002177994777081214,0.00046201410865757075,1.6865275398914433e-05,6.302758756443267e-06,False
1,अकराम्हशी,marathi,mistral-small-latest,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.0005493592470630097,4.757645425657629e-06,1.1061159714638084e-05,5.255395707074638e-07,8.750299760661308e-06,4.264746818557914e-06,5.475976980449466e-06,1.1300808333434096e-06,3.5913010679499402e-06,3.514382632807918e-05,2.5071593847983196e-06,1.6865275398914433e-05,1.5689549727726036e-06,4.757645425657629e-06,5.255395707074638e-07,4.264746818557914e-06,3.5913010679499402e-06,1.1300808333434096e-06,5.475976980449466e-06,2.5071593847983196e-06,1.5689549727726036e-06,False
2,अकराम्हशीचा,marathi,gpt-4o-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.19846912008457226,0.0008664869948190511,0.04512456354265489,6.361912109467577e-05,1.4202364022997911e-05,6.40200641038395e-06,0.00048621199923766566,0.00022479961043891304,0.00022841290836588552,0.010375333996460125,4.044814978420809e-05,0.0011462110697769347,1.0229985472581487e-05,0.0008664869948190511,6.361912109467577e-05,6.40200641038395e-06,0.00022841290836588552,0.00022479961043891304,0.00048621199923766566,4.044814978420809e-05,1.0229985472581487e-05,False
2,अकराम्हशीचा,marathi,open-mixtral-8x7b,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.197015909920439,0.0007918879247835782,0.007157347633890556,4.908661889889002e-06,1.0391067562761452e-05,2.97731143841062e-06,0.00045853454316705595,0.00021647942276017086,0.0002169541704852047,0.0007955642203309997,1.3342001090985438e-05,0.0005451573766566274,6.814872211615988e-06,0.0007918879247835782,4.908661889889002e-06,2.97731143841062e-06,0.0002169541704852047,0.00021647942276017086,0.00045853454316705595,1.3342001090985438e-05,6.814872211615988e-06,False
2,अकराम्हशीचा,marathi,open-mistral-7b,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.19645619750485246,0.0008012616803916231,0.00767742116828364,1.1061159714638084e-05,8.888084683809127e-06,3.024195853395102e-06,0.0004544456121966584,0.00021239327621036451,0.0002117642425769555,0.0009180870254226624,2.0662982488383408e-05,0.010103386892801616,1.4653129390717958e-05,0.0008012616803916231,1.1061159714638084e-05,3.024195853395102e-06,0.0002117642425769555,0.00021239327621036451,0.0004544456121966584,2.0662982488383408e-05,1.4653129390717958e-05,False
2,अकराम्हशीचा,marathi,open-mixtral-8x22b,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.34076959359723985,0.0007600338747701979,0.007344776518690885,3.169325442919291e-06,2.3413582477639402e-05,3.373722476473661e-06,1.15919343186331e-05,4.400118457925303e-06,0.00021308442800063954,0.000739796014420037,5.144221374220898e-06,0.0005267203585267405,4.1335397768930325e-06,0.0007600338747701979,3.169325442919291e-06,3.373722476473661e-06,0.00021308442800063954,4.400118457925303e-06,1.15919343186331e-05,5.144221374220898e-06,4.1335397768930325e-06,False
1,अकराम्हशी,marathi,claude-3-5-sonnet-latest,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.006040028016584831,2.8240807799315707e-05,0.0012432677041108568,4.069457790466838e-06,1.488384825728813e-05,5.562206273647035e-06,1.168284036465575e-05,4.832563818725537e-06,5.649793328376294e-06,0.0007911659505451469,1.2339457598623173e-05,0.0005600758955536546,1.177445922838707e-05,2.8240807799315707e-05,4.069457790466838e-06,5.562206273647035e-06,5.649793328376294e-06,4.832563818725537e-06,1.168284036465575e-05,1.2339457598623173e-05,1.177445922838707e-05,False
1,अकराम्हशी,marathi,claude-3-5-haiku-latest,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.19541380656446505,0.0008396684131465301,0.008396921893694561,1.971694219622292e-05,7.967300986103147e-06,3.120191139396651e-06,0.0004664994696390103,0.00021949571359885858,0.0002227627797192805,0.020751581986515787,0.0002182716445345181,0.0005451573766566274,1.141223854434603e-05,0.0008396684131465301,1.971694219622292e-05,3.120191139396651e-06,0.0002227627797192805,0.00021949571359885858,0.0004664994696390103,0.0002182716445345181,1.141223854434603e-05,False
2,अकराम्हशीचा,marathi,mistral-small-latest,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.00957754835734895,1.5598027633743823e-05,0.0071335892195802525,2.0785170435063726e-06,2.1112482331487175e-06,1.0451548051737735e-06,6.868318245725359e-06,3.2192334497037803e-06,2.212566909570261e-06,0.010359240122396843,4.373344035182828e-05,1.6865275398914433e-05,4.1335397768930325e-06,1.5598027633743823e-05,2.0785170435063726e-06,1.0451548051737735e-06,2.212566909570261e-06,3.2192334497037803e-06,6.868318245725359e-06,4.373344035182828e-05,4.1335397768930325e-06,False
1,अकराम्हशी,marathi,claude-3-opus-latest,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.19597586771140824,0.0009215994816258243,0.0076187536003311795,1.8814207550495463e-05,1.442598644847886e-05,7.0311842669149565e-06,0.0004737802338585972,0.00022890578566252782,0.00022120585807682417,0.2880707489829681,0.060543864509571305,0.0012606297951313558,4.442183589214344e-05,0.0009215994816258243,1.8814207550495463e-05,7.0311842669149565e-06,0.00022120585807682417,0.00022890578566252782,0.0004737802338585972,0.060543864509571305,4.442183589214344e-05,False
2,अकराम्हशीचा,marathi,gpt-4o,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.4882141442855259,0.0009146863982100404,0.03526975398814156,2.1654404989510328e-05,9.314593042575101e-06,2.4300240743279605e-06,0.0004611980689473196,0.00021647942276017086,0.00021849741587309833,0.019553256770263667,0.0001064962672055945,0.0005600758955536546,9.314593042575101e-06,0.0009146863982100404,2.1654404989510328e-05,2.4300240743279605e-06,0.00021849741587309833,0.00021647942276017086,0.0004611980689473196,0.0001064962672055945,9.314593042575101e-06,True
2,अकराम्हशीचा,marathi,open-mistral-nemo,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.1982459543874984,0.0009679133005760399,0.007420791930921605,1.2339457598623173e-05,1.141223854434603e-05,5.829126566113866e-06,1.7130819343483194e-05,0.00022821855463376096,0.00022071847593153172,0.5676828358642957,0.022860329364955585,0.01014994477887168,1.6865275398914433e-05,0.0009679133005760399,1.2339457598623173e-05,5.829126566113866e-06,0.00022071847593153172,0.00022821855463376096,1.7130819343483194e-05,0.022860329364955585,1.6865275398914433e-05,False
2,अकराम्हशीचा,marathi,o1-preview,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.195733809996566,0.0008012616803916231,0.007535190480872282,9.461262661302227e-06,8.61465062380632e-06,2.212566909570261e-06,0.0004602132171001878,0.00021428634147831863,0.00021642339588120966,0.00014325365947100792,1.609308249869283e-05,0.001148884691306376,1.3982207564732913e-05,0.0008012616803916231,9.461262661302227e-06,2.212566909570261e-06,0.00021642339588120966,0.00021428634147831863,0.0004602132171001878,1.609308249869283e-05,1.3982207564732913e-05,False
2,अकराम्हशीचा,marathi,mistral-large-latest,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.3418544563486576,0.0008587114598224063,0.007664031263884288,1.3342001090985438e-05,1.2731104162213555e-05,4.331903899346328e-06,0.00046180770305806804,0.0002234294250431651,0.0002195646001895695,0.0972335285160402,0.00010987310729246431,0.0012084550808965343,1.3135179706526775e-05,0.0008587114598224063,1.3342001090985438e-05,4.331903899346328e-06,0.0002195646001895695,0.0002234294250431651,0.00046180770305806804,0.00010987310729246431,1.3135179706526775e-05,False
2,अकराम्हशीचा,marathi,o1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.1958863271090808,0.0008442090516971174,0.00745510968217876,1.2533751425646102e-05,1.141223854434603e-05,3.705296977158347e-06,0.00045817725671734247,0.0002171188354396817,0.00021891431472897838,0.0007622196052140349,3.0534893211185946e-05,0.0012066513489127867,1.7400543552708932e-05,0.0008442090516971174,1.2533751425646102e-05,3.705296977158347e-06,0.00021891431472897838,0.0002171188354396817,0.00045817725671734247,3.0534893211185946e-05,1.7400543552708932e-05,False
2,अकराम्हशीचा,marathi,gpt-4-turbo,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.02759405825893,4.8785712278226595e-05,0.007151923689319632,7.843789122138342e-06,6.709224499600877e-06,3.822911232549001e-06,1.6346470245419304e-05,3.944258675190877e-06,0.00021261659798959046,5.27478412523148e-05,7.484622751061123e-06,0.0005553536215526795,7.0311842669149565e-06,4.8785712278226595e-05,7.843789122138342e-06,3.822911232549001e-06,0.00021261659798959046,3.944258675190877e-06,1.6346470245419304e-05,7.484622751061123e-06,7.0311842669149565e-06,False
3,अकराम्हशीच्या,marathi,open-mistral-nemo,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.005909169275576493,9.461262661302227e-06,7.096703991005882e-05,1.9223170236538178e-06,1.7231572752142392e-06,7.411279871974134e-07,4.908661889889002e-06,1.1843139025979655e-06,4.069457790466838e-06,0.09795182695638965,3.250358452365473e-05,0.0004992412660775477,3.6478537675800286e-06,9.461262661302227e-06,1.9223170236538178e-06,7.411279871974134e-07,4.069457790466838e-06,1.1843139025979655e-06,4.908661889889002e-06,3.250358452365473e-05,3.6478537675800286e-06,False
2,अकराम्हशीचा,marathi,claude-3-opus-latest,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.005742461066859893,2.1318756129065198e-05,0.0011970278428260668,4.331903899346328e-06,8.349627818261147e-06,3.535625074174432e-06,9.761566060239504e-06,3.4808121961114687e-06,4.331903899346328e-06,0.010335556418985824,1.7952796934677738e-05,0.0005096006331304873,5.562206273647035e-06,2.1318756129065198e-05,4.331903899346328e-06,3.535625074174432e-06,4.331903899346328e-06,3.4808121961114687e-06,9.761566060239504e-06,1.7952796934677738e-05,5.562206273647035e-06,False
2,अकराम्हशीचा,marathi,claude-3-5-sonnet-latest,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.3383211081490592,0.0008638546840465341,0.008396921893694561,1.6346470245419304e-05,1.3552078562406772e-05,3.169325442919291e-06,0.00047438307922800164,0.0002234294250431651,0.0002306778733816642,0.0029756715223842765,3.3015272509780104e-05,0.0005957051194471736,5.649793328376294e-06,0.0008638546840465341,1.6346470245419304e-05,3.169325442919291e-06,0.0002306778733816642,0.0002234294250431651,0.00047438307922800164,3.3015272509780104e-05,5.649793328376294e-06,False
3,अकराम्हशीच्या,marathi,open-mixtral-8x22b,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.2523916821200653,0.0008062878609679866,0.007725937964817763,1.1959857805023158e-05,2.0342697805520655e-05,4.469407144215697e-06,0.0004700830312855635,0.00021969932935077746,0.0002253896128383855,0.0001597845494017344,7.967300986103147e-06,0.0005702096923869237,8.220189478350845e-06,0.0008062878609679866,1.1959857805023158e-05,4.469407144215697e-06,0.0002253896128383855,0.00021969932935077746,0.0004700830312855635,7.967300986103147e-06,8.220189478350845e-06,False
3,अकराम्हशीच्या,marathi,mistral-small-latest,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.25399693377553756,0.0007662823203240901,0.007357476143593791,3.2699273422345685e-06,4.1335397768930325e-06,8.664653147910923e-07,1.6865275398914433e-05,3.6478537675800286e-06,0.00021239342043348654,5.27478412523148e-05,4.1335397768930325e-06,0.0005156936737338665,3.2192334497037803e-06,0.0007662823203240901,3.2699273422345685e-06,8.664653147910923e-07,0.00021239342043348654,3.6478537675800286e-06,1.6865275398914433e-05,4.1335397768930325e-06,3.2192334497037803e-06,False
2,अकराम्हशीचा,marathi,gpt-3.5-turbo,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.3064735159338603,0.0007833514929561441,0.007625073712682713,4.1335397768930325e-06,3.373722476473661e-06,1.3007128466476034e-06,4.198630823683514e-06,5.144221374220898e-06,3.7636447180974406e-06,0.24361301361533216,0.0012336100420869754,0.0005347894011802569,9.461262661302227e-06,0.0007833514929561441,4.1335397768930325e-06,1.3007128466476034e-06,3.7636447180974406e-06,5.144221374220898e-06,4.198630823683514e-06,0.0012336100420869754,9.461262661302227e-06,False
3,अकराम्हशीच्या,marathi,open-mixtral-8x7b,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.2528511534694475,0.0008045862789480816,0.007587871601441952,7.484622751061123e-06,1.4202364022997911e-05,3.535625074174432e-06,0.00045696979624789015,0.00021573434654944567,0.00021591692196200267,0.0007825718007335673,1.0889691002655445e-05,0.0005175603499223236,5.649793328376294e-06,0.0008045862789480816,7.484622751061123e-06,3.535625074174432e-06,0.00021591692196200267,0.00021573434654944567,0.00045696979624789015,1.0889691002655445e-05,5.649793328376294e-06,False
3,अकराम्हशीच्या,marathi,mistral-large-latest,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.1978706221051554,4.802972318863164e-05,0.00767742116828364,4.069457790466838e-06,3.2699273422345685e-06,6.962256250138369e-07,1.5000566214994787e-05,3.822911232549001e-06,0.00021308442800063954,0.00017546144100994869,4.400118457925303e-06,0.0005064063866345278,2.6688529572628562e-06,4.802972318863164e-05,4.069457790466838e-06,6.962256250138369e-07,0.00021308442800063954,3.822911232549001e-06,1.5000566214994787e-05,4.400118457925303e-06,2.6688529572628562e-06,False
3,अकराम्हशीच्या,marathi,gpt-3.5-turbo,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.5257501690749148,0.0008831713514648505,0.021062828898269936,1.3342001090985438e-05,9.761566060239504e-06,3.0718185454758057e-06,0.0004664994696390103,0.00022144799790153877,0.0002169541704852047,0.002924908581036187,5.9766937110286536e-05,0.0012292499595662238,1.5598027633743823e-05,0.0008831713514648505,1.3342001090985438e-05,3.0718185454758057e-06,0.0002169541704852047,0.00022144799790153877,0.0004664994696390103,5.9766937110286536e-05,1.5598027633743823e-05,True
3,अकराम्हशीच्या,marathi,claude-3-5-haiku-latest,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.3391567834996436,0.0011262086416162463,0.00833691817858257,4.238847419937498e-05,2.4923252458203565e-05,1.2339457598623173e-05,0.000468757999308423,0.00022508672397078173,0.00023028548862477513,0.2857766890360049,0.0005260852257235712,0.016074999191737577,3.150386940813393e-05,0.0011262086416162463,4.238847419937498e-05,1.2339457598623173e-05,0.00023028548862477513,0.00022508672397078173,0.000468757999308423,0.0005260852257235712,3.150386940813393e-05,False
3,अकराम्हशीच्या,marathi,gpt-4o-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,0.19690810394507913,0.0007833514929561441,0.007383775707857504,5.829126566113866e-06,9.170196905195049e-06,2.2474089854291757e-06,0.0004641692792064882,0.00021559218865928174,0.00021849741587309833,0.00013670256456563558,1.2339457598623173e-05,0.000565024317150732,6.014151777699533e-06,0.0007833514929561441,5.829126566113866e-06,2.2474089854291757e-06,0.00021849741587309833,0.00021559218865928174,0.0004641692792064882,1.2339457598623173e-05,6.014151777699533e-06,False
